Country,TIME_PERIOD,OBS_VALUE,Country Code,Indicator Name,Indicator Code,GDP_per_capita
United Kingdom,2021,57.473328,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,52841.6345850474
United States,2009,41.056328,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,58736.9461328153
Italy,2009,20.160688,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,49331.4993257784
United Kingdom,2009,45.283749,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48028.796532892
Japan,2009,55.667507,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,39495.165356114
France,2012,42.909988,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51256.4835594146
Canada,2012,57.056797,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53217.7135831819
Germany,2012,28.956329,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,57852.6927856918
Japan,2015,59.646538,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,43624.9274527151
Germany,2015,29.588667,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,59345.4556245657
Spain,2011,40.311493,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,41985.9763889869
Canada,2011,56.40131,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,52869.3878559359
France,2011,42.988277,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51344.3652610133
United States,2011,43.132984,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,60317.5425206572
Italy,2011,20.983423,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50289.8562940746
United Kingdom,2019,51.809521,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,54397.2905235188
Canada,2019,62.965115,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,56713.0888767094
France,2019,48.052528,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,55010.3558807515
United States,2019,50.380188,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,69458.6101827166
Italy,2019,27.931559,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50110.1689436357
United States,2017,47.757,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,66482.8934392041
Italy,2017,26.816479,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48752.5340873447
Spain,2017,42.644691,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,45021.7922539543
